departamento;codigo_pliego;pliego;nivel_gobierno;provincia;distrito;anexos;n_asignaciones;monto_asignado_soles;concepto_del_monto;referencia_paginas_pdf
Puno;211303;MUNICIPALIDAD DISTRITAL DE COPAN';Gobierno local;Yunguyo;Copan';7;7;4930784;Presupuesto institucional total del pliego;ANEXO-7-2-2:230
Puno;211304;MUNICIPALIDAD DISTRITAL DE CUTURAPI;Gobierno local;Yunguyo;Cuturapi;7;6;1593793;Presupuesto institucional total del pliego;ANEXO-7-2-2:230
Puno;211305;MUNICIPALIDAD DISTRITAL DE OLLARAYA;Gobierno local;Yunguyo;Ollaraya;7;7;2447462;Presupuesto institucional total del pliego;ANEXO-7-2-2:230
Puno;211306;MUNICIPALIDAD DISTRITAL DE TINICACHI;Gobierno local;Yunguyo;Tinicachi;7;6;1324965;Presupuesto institucional total del pliego;ANEXO-7-2-2:231
Puno;211307;MUNICIPALIDAD DISTRITAL DE UNICACHI;Gobierno local;Yunguyo;Unicachi;7;6;1575204;Presupuesto institucional total del pliego;ANEXO-7-2-2:231
Tacna;460;GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA;Gobierno regional;;;6;358;986582046;Presupuesto institucional total del pliego;ANEXO-6-2:154-170
Tacna;005;M. DEL AMBIENTE;Gobierno nacional;;;5;3;29080216;Partidas localizadas en Tacna;ANEXO-5-1:44
Tacna;010;M. DE EDUCACION;Gobierno nacional;;;5;1;7514296;Partidas localizadas en Tacna;ANEXO-5-1:97
Tacna;011;M. DE SALUD;Gobierno nacional;;;5;2;203505;Partidas localizadas en Tacna;ANEXO-5-2:121-122
Tacna;013;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO;Gobierno nacional;;;5;1;883542;Partidas localizadas en Tacna;ANEXO-5-3:12
Tacna;016;M. DE ENERGIA Y MINAS;Gobierno nacional;;;5;2;5026360;Partidas localizadas en Tacna;ANEXO-5-3:30,35
Tacna;022;MINISTERIO PUBLICO;Gobierno nacional;;;5;1;16672438;Partidas localizadas en Tacna;ANEXO-5-3:46
Tacna;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;Gobierno nacional;;;5;6;128835265;Partidas localizadas en Tacna;ANEXO-5-3:74,76,80-81
Tacna;037;MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO;Gobierno nacional;;;5;2;1197662;Partidas localizadas en Tacna;ANEXO-5-3:92,112
Tacna;067;SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS;Gobierno nacional;;;5;1;404750;Partidas localizadas en Tacna;ANEXO-5-1:63
Tacna;163;INSTITUTO NACIONAL DE INNOVACION AGRARIA;Gobierno nacional;;;5;1;18000000;Partidas localizadas en Tacna;ANEXO-5-3:23
Tacna;243;AUTORIDAD NACIONAL DE SANIDAD E INOCUIDAD EN PESCA Y ACUICULTURA - SANIPES;Gobierno nacional;;;5;1;4709423;Partidas localizadas en Tacna;ANEXO-5-3:132
Tacna;531;U.N. JORGE BASADRE GROHMANN;Gobierno nacional;;;5;56;176845803;Presupuesto institucional total del pliego;ANEXO-5-2:20-22
Tacna;230101;MUNICIPALIDAD PROVINCIAL DE TACNA;Gobierno local;Tacna;Tacna;7;15;243846306;Presupuesto institucional total del pliego;ANEXO-7-2-2:253
Tacna;230102;MUNICIPALIDAD DISTRITAL DE ALTO DE LA ALIANZA;Gobierno local;Tacna;Alto De La Alianza;7;10;62915565;Presupuesto institucional total del pliego;ANEXO-7-2-2:253-254
Tacna;230103;MUNICIPALIDAD DISTRITAL DE CALANA;Gobierno local;Tacna;Galana;7;10;8694914;Presupuesto institucional total del pliego;ANEXO-7-2-2:254
Tacna;230104;MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA;Gobierno local;Tacna;Ciudad Nueva;7;9;43052443;Presupuesto institucional total del pliego;ANEXO-7-2-2:254
Tacna;230105;MUNICIPALIDAD DISTRITAL DE INCLAN;Gobierno local;Tacna;Inclan;7;10;12260018;Presupuesto institucional total del pliego;ANEXO-7-2-2:254
Tacna;230106;MUNICIPALIDAD DISTRITAL DE PACHIA;Gobierno local;Tacna;Pachia;7;11;9085567;Presupuesto institucional total del pliego;ANEXO-7-2-2:254-255
Tacna;230107;MUNICIPALIDAD DISTRITAL DE PALCA;Gobierno local;Tacna;Palca;7;10;18638751;Presupuesto institucional total del pliego;ANEXO-7-2-2:255
Tacna;230108;MUNICIPALIDAD DISTRITAL DE POCOLLAY;Gobierno local;Tacna;Pocollay;7;9;32381597;Presupuesto institucional total del pliego;ANEXO-7-2-2:255
Tacna;230109;MUNICIPALIDAD DISTRITAL DE SAMA;Gobierno local;Tacna;Sama;7;11;19668964;Presupuesto institucional total del pliego;ANEXO-7-2-2:255-256
Tacna;230110;MUNICIPALIDAD DISTRITAL DE CORONEL GREGORIO ALBARRACIN LANCHIPA;Gobierno local;Tacna;Coronel Gregorio Albarracin Lanchipa;7;12;218117233;Presupuesto institucional total del pliego;ANEXO-7-2-2:256
Tacna;230111;MUNICIPALIDAD DISTRITAL DE LA YARADA LOS PALOS;Gobierno local;Tacna;La Yarada Los Palos;7;7;37771651;Presupuesto institucional total del pliego;ANEXO-7-2-2:256
Tacna;230201;MUNICIPALIDAD PROVINCIAL DE CANDARAVE;Gobierno local;Candarave;Candarave;7;11;9691694;Presupuesto institucional total del pliego;ANEXO-7-2-2:256
Tacna;230202;MUNICIPALIDAD DISTRITAL DE CAIRANI;Gobierno local;Candarave;Cairani;7;9;2401470;Presupuesto institucional total del pliego;ANEXO-7-2-2:257
Tacna;230203;MUNICIPALIDAD DISTRITAL DE CAMILACA;Gobierno local;Candarave;Camilaca;7;7;5210672;Presupuesto institucional total del pliego;ANEXO-7-2-2:257
Tacna;230204;MUNICIPALIDAD DISTRITAL DE CURIBAYA;Gobierno local;Candarave;Curibaya;7;7;3237864;Presupuesto institucional total del pliego;ANEXO-7-2-2:257
Tacna;230205;MUNICIPALIDAD DISTRITAL DE HUANUARA;Gobierno local;Candarave;Huanuara;7;7;2223278;Presupuesto institucional total del pliego;ANEXO-7-2-2:257
Tacna;230206;MUNICIPALIDAD DISTRITAL DE QUILAHUANI;Gobierno local;Candarave;Quilahuani;7;10;3366370;Presupuesto institucional total del pliego;ANEXO-7-2-2:258
